İngilizce terim adı;Türkçe terim adı;Kategori ;Terim açıklama
V60;V60;Demleme Yöntemleri;Kişiye özel filtre kahve demleme yöntemidir. V60’ın tasarımı sayesinde kahve, hem demleme aparatının kenarlarından hem de altından akar. Böylece dengeli bir kahve elde edilmiş olur.
Chemex;Chemex;Demleme Yöntemleri;Kişiye özel filtre kahve demleme yöntemidir. Borosilikat cam teknolojisi ile yapıldığı için kimyasal kalıntı ve kokuları geçirmez ve tutmaz ki bu da kahvemizin tadına direk etki eder ve her seferinde aynı tadı yakalayabilmemizi sağlar. Chemex filtresinin en temel özelliklerinden biri rakiiplerinden %20-30 civarı hafif olması ve kahvenize istenmeyen yağların ve kalıntıların geçmesini engellemesidir. Chemex Filtre kağıdı kullanarak kahve ile suyun etkileşime girme zamanını en iyi şekilde ayarlamış olursunuz ve kahvenizden en zengin aromayı alabilirsiniz.
Aeropress;Aeropress;Demleme Yöntemleri;Kişiye özel filtre kahve demleme yöntemidir. Aeropress 2005 yılında Amerikalı oyuncak dizaynırı Alan Adler tarafından tasarlanmıştır. Espressoya yakın bir lezzeti gittiğiniz her yerde yakalabilme felsefesi ile ortaya çıkmıştır. Diğer Pour-Over demleme yöntemlerinden farklı olarak Aeropress basınç ile kahvenizi demlemenizi sağlar. Espressonda 9-10 bar basınç ile kahve demlenirken, Aeropreste de 2-3 bar basınç ile kahve demlenir. Bu sayede aroması çok daha yoğun, hızlı demleme yapıldığı için de asiditesi ve acılığı olmayan, içimi kolay, yumuşak bir kahve demlemenize olanak tanır. Aeropress BPA içermeyen – gıda tüketimine uygun plastikten yapılmıştır.
Syphon;Siphon ;Demleme Yöntemleri;Kişiye özel filtre kahve demleme yöntemidir. Syphon yöntemi ile kahve yapan ilginç düzenektir. syphon kahve makinesinde, en altta gaz yağı ile çalıştırılarak ısı elde edilen bir bölüm bulunur. Bu bölümün üzerine gelecek şekilde üst üste 2 adet hazne vardır. Bu iki hazneden altta olana su, üstte olana ise öğütülmüş kahve konulur. bu iki haznenin arasında ise bir filtre ve bu filtreye bağlı, su haznesine doğru sarkan bir zincir yer alır. demleme işlemi yapılırken en alttaki ısıtıcı bölüm aktif edilir. Isıtıcı, üstündeki haznede bulunan suyu ısıtır. Isınmaya başlayan su içine sarkan zincir sayesinde yükselerek, aradaki filtrede geçip üst hazneye ulaşır ve burada bulunan kahveyi demler. Demleme işleminin gerçekleşmesi esnasında kahvenin bir çubuk veya kaşıkla karıştırılmasında fayda vardır. Demleme işleminin tamamlanmasıyla ısıtıcı bölüm kapatılır. Soğumaya başlayan demlenmiş kahve, kahve posasını üst haznede bırakıp, tekrar filtreden geçerek alt hazneye ulaşır
Aa;Aa;Çekirdek Çeşidi;Aa bir kahve derecelendirme terimidir. 1500 ile 2100 metre arasındaki yükseklikte yetişen Kenya AA kahvesi, dünyanın en iyi Arabica kahveleri listesindedir. Volkanik toprakta yetişen bu gurme kahve çekirdekleri ıslak işlenir. Bu çekirdekler toplanır, hemen kirazlarından ayrılır ve fazlalıklarından temizlenmek için yıkanır. Bu işlem kahveye yoğunluk ve yüksek asidite verir. Dut ve turunçgiller aroması ile birlikte çiçeksi bir tat sunar.
Acidity;Asitide;Tadım Terimi;Gıdalar içerisinde bulunan organik asitlerin neden olduğu ekşiliğin niteliğini belirtmede kullanılan terimdir. Parlak, keskin, meyvemsi lezzetini ifade eder.
Acrid;Buruk;Tadım Terimi;Sert ve ekşi kahve tadıdır. Buruk, acı ve keskin olarak tarif edilebilir.
After Dinner Roast;Yemek Sonrası Harmanı;Kavurma Terimi;bu tip kavrulan çekirdekler akşam yemeği ve tatlıdan sonra tüketildiği için bu adı almışlardır. Bu tip kahveler düşük asitideli ve koyu kavrulmuşlardır.
Aftertaste;Ağızda Kalan Tat;Tadım Terimi;Bu tat demleme kahvelerin bittikden sonra ağızda bıraktığı tatdır. Bitiş tadı olarak da adlandırılır. Bu tat çikolatalı, yanık, baharatlı, tütünsü ve mayhoş gibi terimlerle adlandırılabilir.
Air Roaster;Havalı Kavurucu;Kavurma Terimi;Sıcak hava akımını kullanarak kahve çekirdeklerini kavuran bir kavurma makinesi çeşitidir.
Alajuela;Alajuela;Çekirdek Çeşidi;Kosta Rica'nın en iyi kahvelerine verilen market ismidir.
Alkaline;Alkalin;Tadım Terimi;Çoğunlukla geri plandaki kuru bir tat hissi olarak tanımlanır. Bu kuru tat pek hoş karşıkanmasada koyu kavrulmuş kahvelerin ve bağzı Endonezya kahvelerinin karakteristik özelliğidir.
Altura;Yükseklik;Çekirdek Özelliği;İspanyolca yükseklik anlamında ki bu terim yüksekde ve dağda yetiştirilen kahve çekirdekleri için kullanılır.
Americano;Americano;Kahve Çeşidi;Bir americano bir yada iki shot espresso üzerine dökülmüş sıcak sudan oluşur. Bunun için 170 ml. ölçeğinde porselen fincanlara, yaklaşık 130 ml. kadar sıcak su eklenir. Üstüne bir doz espresso ilave edilir. Americano, filtre kahvenin bir alternatifi olup, çok daha farklı bir kahve demleme yöntemidir.
Ankola;Ankola;Çekirdek Çeşidi;Arabica kalitesindeki kuzey Sumatra çekirdekleri için nadire kullanılan bir market ismidir.
Antestia;Antestia;Kavurma Terimi;Portekizce asıllı olan bu kelime kahve çekirdeği kavrulurken olan kahveyi buruş buruş ve baştan aşağı siyah bir hale çeviren ifadeyi tanımlayan bir terimdir.
Antigua;Antigua;Çekirdek Çeşidi;Guatemala'nın Antigua bölgesinde ki seçkin kahve çekirdeklerine verilen isimdir.
